AdvActionMAPAgent	401	(2,6) > 10 > (4,5) > (4,5)	
230	(6,9) > 12 > (7,5) > (7,5)	
228	(2,8) > 4 > (0,9) > (0,9)	
16000		

AdvActionMAPRepAgent	239	(5,8) > 8 > (2,3) > (2,3)	
61	(4,3) > 6 > (0,8) > (0,8)	
150	(5,4) > 8 > (5,1) > (5,1)	
99	(7,5) > 8 > (7,9) > (7,9)	
76	(8,2) > 6 > (2,2) > (2,2)	
468	(2,0) > 11 > (9,6) > (9,6)	
230	(6,9) > 12 > (7,5) > (7,5)	
228	(2,8) > 4 > (0,9) > (0,9)	
16000		

BasicActionMAPAgent	112	(5,8) > 8 > (2,3) > (2,3)	
11	(4,3) > 6 > (0,8) > (0,8)	
120	(5,4) > 8 > (5,1) > (5,1)	
106	(7,5) > 8 > (7,9) > (7,9)	
148	(8,2) > 6 > (2,2) > (2,2)	
476	(2,0) > 11 > (9,6) > (9,6)	
186	(6,9) > 12 > (7,5) > (7,5)	
234	(2,8) > 4 > (0,9) > (0,9)	
16000		

HelperInitActionMAPAgent	73	(5,8) > 8 > (2,3) > (2,3)	
163	(4,3) > 6 > (0,7) > (0,8)	
115	(5,4) > 8 > (5,1) > (5,1)	
632	(7,5) > 8 > (7,9) > (7,9)	
125	(8,2) > 6 > (2,3) > (2,2)	
259	(2,0) > 10 > (9,6) > (9,6)	
7	(6,9) > 11 > (7,5) > (7,5)	
265	(2,8) > 4 > (0,9) > (0,9)	
14100		

NoHelpAgent	129	(5,8) > 8 > (2,3) > (2,3)	
337	(4,3) > 4 > (0,8) > (0,8)	
129	(5,4) > 8 > (5,1) > (5,1)	
439	(7,5) > 8 > (7,9) > (7,9)	
166	(8,2) > 6 > (2,3) > (2,2)	
499	(2,0) > 11 > (9,6) > (9,6)	
209	(6,9) > 11 > (7,3) > (7,5)	
249	(2,8) > 3 > (0,8) > (0,9)	
11800		

NoHelpRepAgent	129	(5,8) > 8 > (2,3) > (2,3)	
337	(4,3) > 4 > (0,8) > (0,8)	
129	(5,4) > 8 > (5,1) > (5,1)	
439	(7,5) > 8 > (7,9) > (7,9)	
166	(8,2) > 6 > (2,3) > (2,2)	
499	(2,0) > 11 > (9,6) > (9,6)	
208	(6,9) > 11 > (7,3) > (7,5)	
249	(2,8) > 3 > (0,8) > (0,9)	
11800		



AdvActionMAPAgent	239	(5,8) > 8 > (2,3) > (2,3)	
61	(4,3) > 6 > (0,8) > (0,8)	
150	(5,4) > 8 > (5,1) > (5,1)	
99	(7,5) > 8 > (7,9) > (7,9)	
76	(8,2) > 6 > (2,2) > (2,2)	
468	(2,0) > 11 > (9,6) > (9,6)	
230	(6,9) > 12 > (7,5) > (7,5)	
228	(2,8) > 4 > (0,9) > (0,9)	
16000		

AdvActionMAPRepAgent	239	(5,8) > 8 > (2,3) > (2,3)	
61	(4,3) > 6 > (0,8) > (0,8)	
150	(5,4) > 8 > (5,1) > (5,1)	
99	(7,5) > 8 > (7,9) > (7,9)	
76	(8,2) > 6 > (2,2) > (2,2)	
468	(2,0) > 11 > (9,6) > (9,6)	
230	(6,9) > 12 > (7,5) > (7,5)	
228	(2,8) > 4 > (0,9) > (0,9)	
16000		

BasicActionMAPAgent	112	(5,8) > 8 > (2,3) > (2,3)	
11	(4,3) > 6 > (0,8) > (0,8)	
120	(5,4) > 8 > (5,1) > (5,1)	
106	(7,5) > 8 > (7,9) > (7,9)	
148	(8,2) > 6 > (2,2) > (2,2)	
476	(2,0) > 11 > (9,6) > (9,6)	
186	(6,9) > 12 > (7,5) > (7,5)	
234	(2,8) > 4 > (0,9) > (0,9)	
16000		

HelperInitActionMAPAgent	73	(5,8) > 8 > (2,3) > (2,3)	
163	(4,3) > 6 > (0,7) > (0,8)	
115	(5,4) > 8 > (5,1) > (5,1)	
632	(7,5) > 8 > (7,9) > (7,9)	
125	(8,2) > 6 > (2,3) > (2,2)	
259	(2,0) > 10 > (9,6) > (9,6)	
7	(6,9) > 11 > (7,5) > (7,5)	
265	(2,8) > 4 > (0,9) > (0,9)	
14100		

NoHelpAgent	129	(5,8) > 8 > (2,3) > (2,3)	
337	(4,3) > 4 > (0,8) > (0,8)	
129	(5,4) > 8 > (5,1) > (5,1)	
439	(7,5) > 8 > (7,9) > (7,9)	
166	(8,2) > 6 > (2,3) > (2,2)	
499	(2,0) > 11 > (9,6) > (9,6)	
209	(6,9) > 11 > (7,3) > (7,5)	
249	(2,8) > 3 > (0,8) > (0,9)	
11800		

NoHelpRepAgent	129	(5,8) > 8 > (2,3) > (2,3)	
337	(4,3) > 4 > (0,8) > (0,8)	
129	(5,4) > 8 > (5,1) > (5,1)	
439	(7,5) > 8 > (7,9) > (7,9)	
166	(8,2) > 6 > (2,3) > (2,2)	
499	(2,0) > 11 > (9,6) > (9,6)	
208	(6,9) > 11 > (7,3) > (7,5)	
249	(2,8) > 3 > (0,8) > (0,9)	
11800		

AdvActionMAPAgent	123	(0,3) > 12 > (1,7) > (1,7)	
317	(4,9) > 6 > (3,7) > (3,7)	
305	(5,8) > 10 > (6,4) > (6,4)	
325	(4,7) > 4 > (4,8) > (4,8)	
14	(7,8) > 4 > (6,7) > (6,7)	
223	(4,8) > 4 > (6,6) > (6,6)	
1440	(4,5) > 4 > (7,7) > (7,7)	
1232	(5,7) > 3 > (8,2) > (8,2)	
16000		

AdvActionMAPRepAgent	123	(0,3) > 12 > (1,7) > (1,7)	
317	(4,9) > 6 > (3,7) > (3,7)	
304	(5,8) > 10 > (6,4) > (6,4)	
325	(4,7) > 4 > (4,8) > (4,8)	
13	(7,8) > 4 > (6,7) > (6,7)	
223	(4,8) > 4 > (6,6) > (6,6)	
1440	(4,5) > 4 > (7,7) > (7,7)	
1232	(5,7) > 3 > (8,2) > (8,2)	
16000		

BasicActionMAPAgent	125	(0,3) > 12 > (1,7) > (1,7)	
318	(4,9) > 6 > (3,7) > (3,7)	
307	(5,8) > 10 > (6,4) > (6,4)	
327	(4,7) > 4 > (4,8) > (4,8)	
28	(7,8) > 4 > (6,7) > (6,7)	
225	(4,8) > 4 > (6,6) > (6,6)	
1442	(4,5) > 4 > (7,7) > (7,7)	
1234	(5,7) > 3 > (8,2) > (8,2)	
16000		

HelperInitActionMAPAgent	87	(0,3) > 12 > (1,7) > (1,7)	
92	(4,9) > 6 > (3,7) > (3,7)	
228	(5,8) > 10 > (6,4) > (6,4)	
245	(4,7) > 4 > (4,8) > (4,8)	
7	(7,8) > 4 > (6,7) > (6,7)	
145	(4,8) > 4 > (6,6) > (6,6)	
1358	(4,5) > 4 > (7,7) > (7,7)	
1150	(5,7) > 3 > (8,2) > (8,2)	
16000		

NoHelpAgent	469	(0,3) > 12 > (1,7) > (1,7)	
329	(4,9) > 6 > (4,7) > (3,7)	
309	(5,8) > 10 > (6,4) > (6,4)	
329	(4,7) > 4 > (4,8) > (4,8)	
39	(7,8) > 4 > (5,7) > (6,7)	
229	(4,8) > 3 > (6,6) > (6,6)	
1446	(4,5) > 4 > (7,7) > (7,7)	
1238	(5,7) > 2 > (8,2) > (8,2)	
12500		

NoHelpRepAgent	469	(0,3) > 12 > (1,7) > (1,7)	
329	(4,9) > 6 > (4,7) > (3,7)	
309	(5,8) > 10 > (6,4) > (6,4)	
329	(4,7) > 4 > (4,8) > (4,8)	
38	(7,8) > 4 > (5,7) > (6,7)	
229	(4,8) > 3 > (6,6) > (6,6)	
1446	(4,5) > 4 > (7,7) > (7,7)	
1238	(5,7) > 2 > (8,2) > (8,2)	
12500		



AdvActionMAPAgent	123	(0,3) > 12 > (1,7) > (1,7)	
317	(4,9) > 6 > (3,7) > (3,7)	
305	(5,8) > 10 > (6,4) > (6,4)	
325	(4,7) > 4 > (4,8) > (4,8)	
14	(7,8) > 4 > (6,7) > (6,7)	
223	(4,8) > 4 > (6,6) > (6,6)	
1440	(4,5) > 4 > (7,7) > (7,7)	
1232	(5,7) > 3 > (8,2) > (8,2)	
16000		

AdvActionMAPRepAgent	123	(0,3) > 12 > (1,7) > (1,7)	
317	(4,9) > 6 > (3,7) > (3,7)	
304	(5,8) > 10 > (6,4) > (6,4)	
325	(4,7) > 4 > (4,8) > (4,8)	
13	(7,8) > 4 > (6,7) > (6,7)	
223	(4,8) > 4 > (6,6) > (6,6)	
1440	(4,5) > 4 > (7,7) > (7,7)	
1232	(5,7) > 3 > (8,2) > (8,2)	
16000		

BasicActionMAPAgent	125	(0,3) > 12 > (1,7) > (1,7)	
318	(4,9) > 6 > (3,7) > (3,7)	
307	(5,8) > 10 > (6,4) > (6,4)	
327	(4,7) > 4 > (4,8) > (4,8)	
28	(7,8) > 4 > (6,7) > (6,7)	
225	(4,8) > 4 > (6,6) > (6,6)	
1442	(4,5) > 4 > (7,7) > (7,7)	
1234	(5,7) > 3 > (8,2) > (8,2)	
16000		

HelperInitActionMAPAgent	87	(0,3) > 12 > (1,7) > (1,7)	
92	(4,9) > 6 > (3,7) > (3,7)	
228	(5,8) > 10 > (6,4) > (6,4)	
245	(4,7) > 4 > (4,8) > (4,8)	
7	(7,8) > 4 > (6,7) > (6,7)	
145	(4,8) > 4 > (6,6) > (6,6)	
1358	(4,5) > 4 > (7,7) > (7,7)	
1150	(5,7) > 3 > (8,2) > (8,2)	
16000		

NoHelpAgent	469	(0,3) > 12 > (1,7) > (1,7)	
329	(4,9) > 6 > (4,7) > (3,7)	
309	(5,8) > 10 > (6,4) > (6,4)	
329	(4,7) > 4 > (4,8) > (4,8)	
39	(7,8) > 4 > (5,7) > (6,7)	
229	(4,8) > 3 > (6,6) > (6,6)	
1446	(4,5) > 4 > (7,7) > (7,7)	
1238	(5,7) > 2 > (8,2) > (8,2)	
12500		

